m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1045,771,870.833,99.8333,88.53591906,87.95627221,0.335990467,1.623140699,0.100603303,87.95627221Å}0.100603303
1076,798,896.667,98.6667,88.99624944,,1.081552647,,,
1049,747,874.167,127.167,85.45277962,,6.26747516,,,87.85566891
1158,836,965,129,86.63212435,,1.753367549,,,to
1090,839,908.333,69.3333,92.36700637,,19.45457586,,,88.05687551
1131,832,942.5,110.5,88.27586207,,0.102137678,,,
1065,788,887.5,99.5,88.78873239,,0.692989959,,,
1164,861,970,109,88.7628866,,0.650626771,,,
1069,776,890.833,114.833,87.10948068,,0.7170559,,,
1078,784,898.333,114.333,87.27275966,,0.467189412,,,
1037,776,864.167,88.1667,89.79745813,,3.389965593,,,
1087,784,905.833,121.833,86.55016984,,1.977123865,,,
1130,846,941.667,95.6667,89.84067616,,3.550978257,,,
1092,822,910,88,90.32967033,,5.633018634,,,
1180,866,983.333,117.333,88.06782646,,0.012444352,,,
1010,733,841.667,108.667,87.08907442,,0.752032007,,,
1046,757,871.667,114.667,86.84509107,,1.23472352,,,
1117,832,930.833,98.8333,89.38230596,,2.033572245,,,
1035,759,862.5,103.5,88,,0.00191212,,,
1083,799,902.5,103.5,88.53185596,,0.331296648,,,
1085,804,904.167,100.167,88.9216262,,0.931908334,,,
1022,766,851.667,85.6667,89.94125638,,3.940162167,,,
1162,838,968.333,130.333,86.54047729,,2.004475243,,,
1112,803,926.667,123.667,86.65464509,,1.694233164,,,
1089,811,907.5,96.5,89.36639118,,1.988435522,,,
1055,764,879.167,115.167,86.90044099,,1.114779574,,,
1078,781,898.333,117.333,86.93880777,,1.035233888,,,
1109,806,924.167,118.167,87.21367458,,0.551451233,,,
1198,872,998.333,126.333,87.34560512,,0.37291429,,,
1025,775,854.167,79.1667,90.73167191,,7.702843492,,,
1194,871,995,124,87.53768844,,0.175212371,,,
1021,757,850.833,93.8333,88.97163133,,1.030954144,,,
1002,774,835,61,92.69461078,,22.45185239,,,
1045,769,870.833,101.833,88.3062539,,0.122487181,,,
1078,777,898.333,121.333,86.49353859,,2.13958965,,,
1102,805,918.333,113.333,87.658834,,0.088469491,,,
1068,784,890,106,88.08988764,,0.017853083,,,
1035,754,862.5,108.5,87.42028986,,0.287277085,,,
1017,736,847.5,111.5,86.84365782,,1.237910787,,,
1070,783,891.667,108.667,87.81305128,,0.020512233,,,
1132,806,943.333,137.333,85.4417263,,6.322941111,,,
1158,864,965,101,89.53367876,,2.488211413,,,
1052,766,876.667,110.667,87.37639263,,0.336260324,,,
1076,793,896.667,103.667,88.43862883,,0.232667912,,,
1078,791,898.333,107.333,88.05198072,,0.00916012,,,
1146,847,955,108,88.69109948,,0.539971112,,,
