m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1281,926,1067.5,141.5,86.74473068,87.22296092,0.228704163,2.008981925,0.12451799,87.22296092Å}0.12451799
1331,1003,1109.17,106.167,90.42797768,,10.27213241,,,
1316,942,1096.67,154.667,85.89639545,,1.759775942,,,87.09844293
1472,1102,1226.67,124.667,89.8367124,,6.8316968,,,to
1416,1028,1180,152,87.11864407,,0.010882006,,,87.34747891
1292,943,1076.67,133.667,87.58486816,,0.130976849,,,
1402,1038,1168.33,130.333,88.84476133,,2.630236557,,,
1385,1038,1154.17,116.167,89.93475831,,7.353845091,,,
1132,828,943.333,115.333,87.77388261,,0.303514704,,,
1211,845,1009.17,164.167,83.73217595,,12.18557973,,,
1179,844,982.5,138.5,85.90330789,,1.741484125,,,
1415,1042,1179.17,137.167,88.36724136,,1.309377736,,,
1319,942,1099.17,157.167,85.70102896,,2.316276896,,,
1247,901,1039.17,138.167,86.7038117,,0.269515917,,,
1492,1109,1243.33,134.333,89.19594959,,3.89268428,,,
1186,859,988.333,129.333,86.91402594,,0.095440821,,,
1120,856,933.333,77.3333,91.71431847,,20.17229264,,,
1301,958,1084.17,126.167,88.36252617,,1.298608964,,,
1288,948,1073.33,125.333,88.32325566,,1.21064852,,,
1265,919,1054.17,135.167,87.17758995,,0.002058525,,,
1265,919,1054.17,135.167,87.17758995,,0.002058525,,,
1377,1010,1147.5,137.5,88.01742919,,0.631179838,,,
1342,985,1118.33,133.333,88.0777588,,0.730679417,,,
1181,850,984.167,134.167,86.36745593,,0.731888788,,,
1311,985,1092.5,107.5,90.16018307,,8.627273937,,,
1226,897,1021.67,124.667,87.7974297,,0.330014377,,,
1321,990,1100.83,110.833,89.93214211,,7.339662725,,,
1362,1007,1135,128,88.72246696,,2.248518365,,,
1251,942,1042.5,100.5,90.35971223,,9.839208782,,,
1319,949,1099.17,150.167,86.33787312,,0.783380409,,,
1081,784,900.833,116.833,87.03055949,,0.037018309,,,
1452,1084,1210,126,89.58677686,,5.587625796,,,
1296,949,1080,131,87.87037037,,0.419138996,,,
1187,887,989.167,102.167,89.67141039,,5.994904801,,,
1362,979,1135,156,86.25550661,,0.935967846,,,
1167,863,972.5,109.5,88.7403599,,2.302499656,,,
1191,859,992.5,133.5,86.54911839,,0.454063758,,,
1198,903,998.333,95.3333,90.45078145,,10.41882539,,,
1265,906,1054.17,148.167,85.94439227,,1.634737791,,,
1240,897,1033.33,136.333,86.80673163,,0.173246818,,,
1203,885,1002.5,117.5,88.27930175,,1.11585594,,,
1252,933,1043.33,110.333,89.42520583,,4.849882649,,,
1205,876,1004.17,128.167,87.23622494,,0.000175934,,,
1295,951,1079.17,128.167,88.12327993,,0.810574316,,,
1443,1096,1202.5,106.5,91.14345114,,15.37024359,,,
1374,1028,1145,117,89.78165939,,6.546937853,,,
1228,923,1023.33,100.333,90.19573354,,8.83737703,,,
1405,988,1170.83,182.833,84.38458188,,8.056395587,,,
1295,926,1079.17,153.167,85.80668477,,2.005838142,,,
1267,894,1055.83,161.833,84.67272193,,6.503718884,,,
1231,947,1025.83,78.8333,92.31549087,,25.9338613,,,
1303,932,1085.83,153.833,85.83295728,,1.932110128,,,
1391,1022,1159.17,137.167,88.16653295,,0.890328176,,,
1249,894,1040.83,146.833,85.89298925,,1.768824646,,,
1397,1041,1164.17,123.167,89.41993008,,4.826673485,,,
1423,1024,1185.83,161.833,86.35301856,,0.756799708,,,
1359,937,1132.5,195.5,82.73730684,,20.1210925,,,
1273,962,1060.83,98.8333,90.68370993,,11.97678368,,,
1255,914,1045.83,131.833,87.39470086,,0.029494607,,,
1440,1049,1200,151,87.41666667,,0.037521916,,,
1383,1041,1152.5,111.5,90.32537961,,9.625001725,,,
1263,942,1052.5,110.5,89.50118765,,5.190317026,,,
1130,839,941.667,102.667,89.09731359,,3.513197946,,,
1261,937,1050.83,113.833,89.16761037,,3.781661464,,,
1386,1021,1155,134,88.3982684,,1.381347668,,,
1281,922,1067.5,145.5,86.37002342,,0.72750238,,,
1304,974,1086.67,112.667,89.6316269,,5.801671788,,,
1343,1013,1119.17,106.167,90.51350554,,10.82768392,,,
1165,842,970.833,128.833,86.72964351,,0.243362065,,,
1239,912,1032.5,120.5,88.32929782,,1.223981338,,,
1381,1004,1150.83,146.833,87.24138231,,0.000339347,,,
1338,936,1115,179,83.94618834,,10.73723854,,,
1257,930,1047.5,117.5,88.78281623,,2.433148585,,,
1296,930,1080,150,86.11111111,,1.236209998,,,
1485,1067,1237.5,170.5,86.22222222,,1.001477941,,,
1156,867,963.333,96.3333,90.00003114,,7.712119017,,,
1340,947,1116.67,169.667,84.805717,,5.843068179,,,
1533,1136,1277.5,141.5,88.92367906,,2.892442194,,,
1267,950,1055.83,105.833,89.97660608,,7.582561681,,,
1237,886,1030.83,144.833,85.95015667,,1.620030659,,,
1390,981,1158.33,177.333,84.6908912,,6.411377083,,,
1223,857,1019.17,162.167,84.08803242,,9.827776709,,,
1131,811,942.5,131.5,86.04774536,,1.381131617,,,
1179,886,982.5,96.5,90.17811705,,8.732947743,,,
1331,964,1109.17,145.167,86.91183498,,0.096799353,,,
1369,1011,1140.83,129.833,88.61968917,,1.950849815,,,
1405,973,1170.83,197.833,83.10343944,,16.97045722,,,
1444,1042,1203.33,161.333,86.59303765,,0.396803321,,,
1288,931,1073.33,142.333,86.73939981,,0.233831345,,,
1431,1003,1192.5,189.5,84.10901468,,9.696661216,,,
1309,973,1090.83,117.833,89.19813353,,3.901306845,,,
1248,948,1040,92,91.15384615,,15.45185872,,,
1371,978,1142.5,164.5,85.60175055,,2.628323073,,,
1238,898,1031.67,133.667,87.0433375,,0.032264573,,,
1261,914,1050.83,136.833,86.97886433,,0.059583147,,,
1257,891,1047.5,156.5,85.05966587,,4.679845469,,,
1365,1015,1137.5,122.5,89.23076923,,4.031294213,,,
1283,946,1069.17,123.167,88.47984885,,1.57976728,,,
1288,917,1073.33,156.333,85.43504793,,3.196632842,,,
1274,890,1061.67,171.667,83.83019206,,11.51088057,,,
1433,1026,1194.17,168.167,85.91741544,,1.704448992,,,
1333,994,1110.83,116.833,89.48263911,,5.106145512,,,
1296,926,1080,154,85.74074074,,2.19697666,,,
1291,935,1075.83,140.833,86.90964186,,0.098168835,,,
1385,995,1154.17,159.167,86.2091373,,1.027838328,,,
1279,935,1065.83,130.833,87.72505934,,0.252102827,,,
1438,1036,1198.33,162.333,86.45364799,,0.591842379,,,
1160,834,966.667,132.667,86.27583232,,0.897052587,,,
1347,977,1122.5,145.5,87.03786192,,0.034261642,,,
1353,986,1127.5,141.5,87.45011086,,0.051597097,,,
1207,879,1005.83,126.833,87.39051331,,0.028073803,,,
1331,936,1109.17,173.167,84.38742483,,8.040264911,,,
1361,1018,1134.17,116.167,89.75726743,,6.422709482,,,
1349,976,1124.17,148.167,86.81960913,,0.162692663,,,
1278,926,1065,139,86.94835681,,0.075407419,,,
1289,932,1074.17,142.167,86.76466481,,0.210035324,,,
1151,845,959.167,114.167,88.09727607,,0.764426988,,,
1157,873,964.167,91.1667,90.54448036,,11.03249142,,,
